,Epoch,Train_loss,Train_acc,Train_IU,Val_loss,Val_acc,Val_IU
0,0.0,0.66993,0.40844,0.28301,0.62768,0.33969,0.26455
1,1.0,0.56644,0.47568,0.32321,0.58147,0.36719,0.29394
2,2.0,0.53191,0.50388,0.3427,0.59118,0.4614,0.27724
3,3.0,0.50643,0.52509,0.36119,0.56706,0.50859,0.29906
4,4.0,0.49486,0.53908,0.36942,0.59157,0.54206,0.31403
5,5.0,0.48118,0.54775,0.37438,0.58198,0.54642,0.30784
6,6.0,0.46949,0.55837,0.38301,0.56671,0.54176,0.24894
7,7.0,0.45973,0.56573,0.3916,0.5437,0.53812,0.25608
8,8.0,0.45543,0.5703,0.39367,0.5749,0.545,0.2904
9,9.0,0.44603,0.57932,0.40356,0.56392,0.54682,0.23846
10,10.0,0.44116,0.58289,0.40528,0.53423,0.56629,0.21852
11,11.0,0.43449,0.58879,0.41118,0.57489,0.53393,0.22909
12,12.0,0.42993,0.58954,0.41041,0.56052,0.55177,0.30534
13,13.0,0.42057,0.59805,0.42139,0.5667,0.54358,0.30846
14,14.0,0.41529,0.60173,0.42125,0.52959,0.56469,0.25646
15,15.0,0.41298,0.6047,0.42468,0.52812,0.54955,0.30067
16,16.0,0.40545,0.60892,0.42991,0.53015,0.56153,0.25697
17,17.0,0.40494,0.61226,0.42997,0.55352,0.55874,0.26078
18,18.0,0.40072,0.61536,0.43387,0.53019,0.53748,0.28653
19,19.0,0.39892,0.6163,0.4374,0.56078,0.53405,0.2008
20,20.0,0.39425,0.61803,0.43946,0.54888,0.56774,0.31094
21,21.0,0.39039,0.62232,0.44125,0.54559,0.53854,0.22907
22,22.0,0.3883,0.62505,0.4427,0.51958,0.55066,0.30499
23,23.0,0.38425,0.62857,0.44969,0.56317,0.54754,0.21712
24,24.0,0.38076,0.63173,0.45167,0.54976,0.55094,0.25373
25,25.0,0.37765,0.63183,0.44883,0.52678,0.56946,0.33676
26,26.0,0.37375,0.63555,0.45597,0.53867,0.66248,0.29764
27,27.0,0.37075,0.63705,0.45407,0.53751,0.56067,0.25352
28,28.0,0.37226,0.63936,0.45928,0.53737,0.55263,0.29542
29,29.0,0.37057,0.6409,0.45794,0.5349,0.5647,0.25754
30,30.0,0.36716,0.64287,0.46438,0.51896,0.57061,0.25809
31,31.0,0.36106,0.64638,0.46585,0.54545,0.54645,0.2418
32,32.0,0.36079,0.64558,0.46437,0.53852,0.53508,0.24199
33,33.0,0.36368,0.64727,0.46732,0.52571,0.53994,0.24213
34,34.0,0.3565,0.64727,0.47028,0.51533,0.57302,0.26668
35,35.0,0.35894,0.65099,0.46856,0.53783,0.5527,0.24155
36,36.0,0.35377,0.65028,0.47116,0.53813,0.6611,0.28641
37,37.0,0.35396,0.65254,0.47343,0.54383,0.57304,0.27807
38,38.0,0.35287,0.65538,0.47506,0.51667,0.55225,0.21275
39,39.0,0.35138,0.65764,0.47809,0.53099,0.60404,0.26938
40,40.0,0.34529,0.65527,0.47979,0.53092,0.62605,0.32997
41,41.0,0.34431,0.66043,0.48169,0.53562,0.55558,0.26614
42,42.0,0.34537,0.65955,0.48239,0.5143,0.64332,0.28643
43,43.0,0.34199,0.66172,0.48603,0.56546,0.55567,0.25446
44,44.0,0.33971,0.6657,0.48636,0.53984,0.59214,0.28405
45,45.0,0.33818,0.66343,0.48661,0.51883,0.62971,0.37785
46,46.0,0.33707,0.665,0.48998,0.52953,0.57979,0.28246
47,47.0,0.33536,0.66983,0.49236,0.55641,0.51971,0.26556
48,48.0,0.33367,0.66779,0.49254,0.50672,0.60772,0.31687
49,49.0,0.33507,0.66695,0.4923,0.49771,0.58337,0.26927
50,50.0,0.32903,0.66965,0.49582,0.53757,0.52841,0.31693
51,51.0,0.33155,0.67609,0.4972,0.51296,0.5076,0.31926
52,52.0,0.32644,0.67182,0.49609,0.51443,0.5447,0.2526
53,53.0,0.32649,0.67223,0.49978,0.55342,0.62153,0.26057
54,54.0,0.32598,0.67642,0.49977,0.5434,0.54103,0.26595
55,55.0,0.3224,0.67636,0.50052,0.52937,0.63166,0.38894
56,56.0,0.32367,0.67825,0.50334,0.5423,0.55636,0.26298
57,57.0,0.32184,0.67988,0.50513,0.5175,0.5845,0.36046
58,58.0,0.31919,0.6823,0.50613,0.53992,0.57089,0.26513
59,59.0,0.31836,0.68148,0.5068,0.51743,0.7286,0.25341
60,60.0,0.3203,0.68228,0.50668,0.54646,0.50638,0.2035
61,61.0,0.31708,0.68162,0.51034,0.52924,0.55299,0.32297
62,62.0,0.3164,0.68379,0.51092,0.53327,0.56803,0.26412
63,63.0,0.3127,0.68512,0.51164,0.55226,0.61598,0.25172
64,64.0,0.31395,0.68693,0.51227,0.54294,0.53548,0.27348
65,65.0,0.31455,0.683,0.50935,0.55212,0.56019,0.26433
66,66.0,0.3114,0.68823,0.51332,0.53234,0.56134,0.26415
67,67.0,0.31017,0.6878,0.5172,0.5277,0.67422,0.27619
68,68.0,0.307,0.69012,0.51874,0.55315,0.65123,0.27397
69,69.0,0.30814,0.68972,0.51703,0.57374,0.57432,0.29734
70,70.0,0.30521,0.69208,0.51982,0.62221,0.48224,0.23308
71,71.0,0.30723,0.68915,0.51725,0.54337,0.58585,0.34201
72,72.0,0.30896,0.69014,0.52098,0.53453,0.56418,0.2232
73,73.0,0.30332,0.69204,0.52416,0.55447,0.56939,0.29718
74,74.0,0.3007,0.69373,0.52669,0.51106,0.73718,0.32095
75,75.0,0.30079,0.69654,0.52739,0.54297,0.66686,0.24996
76,76.0,0.29906,0.69546,0.52711,0.52503,0.58641,0.40868
77,77.0,0.29996,0.69562,0.52777,0.52186,0.64275,0.26225
78,78.0,0.29621,0.69917,0.53108,0.50783,0.65383,0.27672
